2020-01-24 11:12:23,464 -not-actor-/PID:1 esrally.rally INFO OS [uname_result(system='Linux', node='54b9e5afceb2', release='5.3.0-26-generic', version='#28-Ubuntu SMP Wed Dec 18 05:37:46 UTC 2019', machine='x86_64', processor='')]
2020-01-24 11:12:23,464 -not-actor-/PID:1 esrally.rally INFO Python [namespace(_multiarch='x86_64-linux-gnu', cache_tag='cpython-37', hexversion=50791408, name='cpython', version=sys.version_info(major=3, minor=7, micro=3, releaselevel='final', serial=0))]
2020-01-24 11:12:23,465 -not-actor-/PID:1 esrally.rally INFO Rally version [1.4.0]
2020-01-24 11:12:23,465 -not-actor-/PID:1 esrally.utils.net INFO Connecting directly to the Internet (no proxy support).
2020-01-24 11:12:23,919 -not-actor-/PID:1 esrally.rally INFO Detected a working Internet connection.
2020-01-24 11:12:23,921 -not-actor-/PID:1 esrally.rally INFO Actor system already running locally? [False]
2020-01-24 11:12:23,921 -not-actor-/PID:1 esrally.actor INFO Starting actor system with system base [multiprocTCPBase] and capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900'}].
2020-01-24 11:12:23,964 -not-actor-/PID:10 root INFO ++++ Actor System gen (3, 9) started, admin @ ActorAddr-(T|:1900)
2020-01-24 11:12:23,973 -not-actor-/PID:1 esrally.racecontrol INFO User specified pipeline [benchmark-only].
2020-01-24 11:12:23,974 -not-actor-/PID:1 esrally.racecontrol INFO Using configured hosts [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}]
2020-01-24 11:12:23,974 -not-actor-/PID:1 esrally.actor INFO Joining already running actor system with system base [multiprocTCPBase].
2020-01-24 11:12:23,976 ActorAddr-(T|:1900)/PID:10 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:23,976 ActorAddr-(T|:1900)/PID:10 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:23,984 ActorAddr-(T|:45103)/PID:12 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60}]
2020-01-24 11:12:23,985 ActorAddr-(T|:45103)/PID:12 esrally.client INFO SSL support: off
2020-01-24 11:12:23,985 ActorAddr-(T|:45103)/PID:12 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:23,985 ActorAddr-(T|:45103)/PID:12 esrally.client INFO HTTP compression: off
2020-01-24 11:12:24,86 ActorAddr-(T|:45103)/PID:12 esrally.actor INFO Automatically derived distribution version [7.5.1]
